context_id,question_id,context,question,answer
C001,C001_Q1,Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. Object-oriented programming organizes code into classes and objects. Static typing enforces type rules at compile time. Interpreted languages are executed line by line by an interpreter. Programming languages provide syntax and semantics to write software programs. Memory management can be manual or automatic. High-level languages are easier for humans to read and write.,Describe functional programming.,"Functional programming emphasizes pure functions, avoiding side effects and promoting immutability."
C001,C001_Q2,Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. Object-oriented programming organizes code into classes and objects. Static typing enforces type rules at compile time. Interpreted languages are executed line by line by an interpreter. Programming languages provide syntax and semantics to write software programs. Memory management can be manual or automatic. High-level languages are easier for humans to read and write.,What is object-oriented programming?,Object-oriented programming organizes code into classes that encapsulate data and behavior as objects.
C001,C001_Q3,Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. Object-oriented programming organizes code into classes and objects. Static typing enforces type rules at compile time. Interpreted languages are executed line by line by an interpreter. Programming languages provide syntax and semantics to write software programs. Memory management can be manual or automatic. High-level languages are easier for humans to read and write.,What is the difference between compiled and interpreted languages?,"Compiled languages like C translate source code into machine code before execution, while interpreted languages like Python run code line by line."
C001,C001_Q4,Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. Object-oriented programming organizes code into classes and objects. Static typing enforces type rules at compile time. Interpreted languages are executed line by line by an interpreter. Programming languages provide syntax and semantics to write software programs. Memory management can be manual or automatic. High-level languages are easier for humans to read and write.,Explain static vs dynamic typing.,"Static typing enforces type rules during compilation, whereas dynamic typing checks types during execution."
C002,C002_Q1,"Graphs consist of vertices and edges representing relationships. Trees are hierarchical structures with nodes connected by edges. Linked lists consist of nodes that hold data and links to the next node. Stacks follow a last-in, first-out access pattern. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements.",How does a stack differ from a queue?,"A stack uses last-in, first-out ordering, while a queue uses first-in, first-out ordering."
C002,C002_Q2,"Graphs consist of vertices and edges representing relationships. Trees are hierarchical structures with nodes connected by edges. Linked lists consist of nodes that hold data and links to the next node. Stacks follow a last-in, first-out access pattern. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements.",Why are balanced trees important?,Balanced trees like AVL trees maintain height constraints to ensure operations stay logarithmic in time.
C002,C002_Q3,"Graphs consist of vertices and edges representing relationships. Trees are hierarchical structures with nodes connected by edges. Linked lists consist of nodes that hold data and links to the next node. Stacks follow a last-in, first-out access pattern. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements.",Describe the structure of a graph.,A graph is a data structure with vertices connected by edges to represent relationships or networks.
C002,C002_Q4,"Graphs consist of vertices and edges representing relationships. Trees are hierarchical structures with nodes connected by edges. Linked lists consist of nodes that hold data and links to the next node. Stacks follow a last-in, first-out access pattern. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements.",What is a linked list?,"A linked list is a linear data structure where each element points to the next, allowing efficient insertion and deletion."
C003,C003_Q1,A database is an organized collection of structured information or data. Relational databases use tables to store data and SQL for querying. Normalization reduces data redundancy and improves integrity. A schema defines the structure of the database. ACID properties ensure reliable transaction processing. Indexes speed up data retrieval operations. Stored procedures are precompiled SQL statements stored in the database. Replication increases data availability and fault tolerance. NoSQL databases are designed for unstructured or semi-structured data.,What is the purpose of an index?,An index speeds up data retrieval by providing quick lookup capabilities based on column values.
C003,C003_Q2,A database is an organized collection of structured information or data. Relational databases use tables to store data and SQL for querying. Normalization reduces data redundancy and improves integrity. A schema defines the structure of the database. ACID properties ensure reliable transaction processing. Indexes speed up data retrieval operations. Stored procedures are precompiled SQL statements stored in the database. Replication increases data availability and fault tolerance. NoSQL databases are designed for unstructured or semi-structured data.,What are ACID properties?,"ACID properties ensure transactions are processed reliably: Atomicity, Consistency, Isolation, and Durability."
C003,C003_Q3,A database is an organized collection of structured information or data. Relational databases use tables to store data and SQL for querying. Normalization reduces data redundancy and improves integrity. A schema defines the structure of the database. ACID properties ensure reliable transaction processing. Indexes speed up data retrieval operations. Stored procedures are precompiled SQL statements stored in the database. Replication increases data availability and fault tolerance. NoSQL databases are designed for unstructured or semi-structured data.,What is a relational database?,"A relational database stores data in tables with rows and columns, using SQL for querying and manipulation."
C004,C004_Q1,Reinforcement learning uses rewards to train agents. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Deep learning uses neural networks with multiple layers for feature extraction. Unsupervised learning finds hidden patterns in unlabeled data. Machine learning is a subset of AI that uses algorithms to learn from data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence.,Explain reinforcement learning.,Reinforcement learning trains agents through a system of rewards and penalties to achieve a goal.
C004,C004_Q2,Reinforcement learning uses rewards to train agents. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Deep learning uses neural networks with multiple layers for feature extraction. Unsupervised learning finds hidden patterns in unlabeled data. Machine learning is a subset of AI that uses algorithms to learn from data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence.,Why is AI ethics important?,"AI ethics is important to ensure fairness, accountability, and transparency in AI systems."
C004,C004_Q3,Reinforcement learning uses rewards to train agents. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Deep learning uses neural networks with multiple layers for feature extraction. Unsupervised learning finds hidden patterns in unlabeled data. Machine learning is a subset of AI that uses algorithms to learn from data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence.,What is supervised learning?,Supervised learning involves training a model on labeled datasets containing input-output pairs.
C004,C004_Q4,Reinforcement learning uses rewards to train agents. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Deep learning uses neural networks with multiple layers for feature extraction. Unsupervised learning finds hidden patterns in unlabeled data. Machine learning is a subset of AI that uses algorithms to learn from data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence.,How does deep learning differ from traditional ML?,Deep learning differs by using multi-layer neural networks to automatically extract higher-level features.
C005,C005_Q1,"Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships. Hash tables map keys to values using a hash function. Linked lists consist of nodes that hold data and links to the next node. Trees are hierarchical structures with nodes connected by edges. Data structures organize and store data in a computer for efficient access and modification. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Balanced trees maintain height constraints for efficient operations. Arrays store elements in contiguous memory locations.",What is a linked list?,"A linked list is a linear data structure where each element points to the next, allowing efficient insertion and deletion."
C005,C005_Q2,"Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships. Hash tables map keys to values using a hash function. Linked lists consist of nodes that hold data and links to the next node. Trees are hierarchical structures with nodes connected by edges. Data structures organize and store data in a computer for efficient access and modification. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Balanced trees maintain height constraints for efficient operations. Arrays store elements in contiguous memory locations.",Describe the structure of a graph.,A graph is a data structure with vertices connected by edges to represent relationships or networks.
C005,C005_Q3,"Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships. Hash tables map keys to values using a hash function. Linked lists consist of nodes that hold data and links to the next node. Trees are hierarchical structures with nodes connected by edges. Data structures organize and store data in a computer for efficient access and modification. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Balanced trees maintain height constraints for efficient operations. Arrays store elements in contiguous memory locations.",Why are balanced trees important?,Balanced trees like AVL trees maintain height constraints to ensure operations stay logarithmic in time.
C005,C005_Q4,"Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships. Hash tables map keys to values using a hash function. Linked lists consist of nodes that hold data and links to the next node. Trees are hierarchical structures with nodes connected by edges. Data structures organize and store data in a computer for efficient access and modification. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Balanced trees maintain height constraints for efficient operations. Arrays store elements in contiguous memory locations.",What is the purpose of a hash table?,A hash table provides fast data retrieval by mapping keys to values through a hash function.
